Time,60 F,65 F,70 F,Time,68 F
82.00,3.675,3.81,4.20,79,4.4625
83.00,3.675,3.94,4.20,80,4.4625
83.00,3.675,3.81,4.20,80,4.4625
83.00,3.675,3.94,4.20,80,4.33125
83.00,3.675,3.94,4.20,80,4.4625
83.00,3.675,3.94,4.20,81,4.33125
84.00,3.675,3.94,4.20,81,4.4625
84.00,3.675,4.07,4.33,81,4.4625
84.00,3.675,3.94,4.33,82,4.4625
84.00,3.675,3.94,4.20,82,4.4625
85.00,3.675,3.81,4.33,82,4.4625
85.00,3.675,3.94,4.20,82,4.4625
85.00,3.675,3.81,4.33,83,4.4625
85.00,3.675,3.94,4.33,83,4.4625
85.00,3.675,3.81,4.20,83,4.33125
85.00,3.675,3.94,4.33,84,4.4625
85.00,3.675,3.81,4.20,84,4.4625
86.00,3.675,3.81,4.33,84,4.4625
86.00,3.675,3.81,4.20,84,4.4625
86.00,3.675,3.81,4.33,84,4.33125
86.00,3.675,3.94,4.20,85,4.4625
86.00,3.675,3.81,4.20,85,4.4625
87.00,3.675,3.94,4.20,85,4.33125
87.00,3.80625,3.81,4.33,85,4.4625
87.00,3.675,3.94,4.20,85,4.4625
87.00,3.675,3.81,4.33,86,4.4625
87.00,3.675,3.94,4.33,86,4.4625
87.00,3.80625,3.94,4.20,86,4.4625
88.00,3.675,3.81,4.33,87,4.4625
88.00,3.80625,3.81,4.20,87,4.4625
88.00,3.675,3.81,4.20,87,4.4625
89.00,3.80625,3.94,4.20,87,4.4625
89.00,3.675,3.81,4.20,88,4.4625
89.00,3.675,3.94,4.33,88,4.4625
89.00,3.80625,3.81,4.20,88,4.4625
89.00,3.675,3.94,4.33,89,4.4625
89.00,3.80625,3.94,4.20,89,4.4625
89.00,3.675,4.07,4.33,89,4.4625
90.00,3.80625,3.94,4.33,89,4.4625
90.00,3.675,3.81,4.20,90,4.4625
90.00,3.80625,3.81,4.33,90,4.4625
90.00,3.675,3.81,4.20,90,4.33125
90.00,3.80625,3.94,4.20,90,4.4625
91.00,3.675,4.07,4.33,90,4.33125
91.00,3.80625,3.94,4.20,91,4.4625
91.00,3.675,3.94,4.20,91,4.33125
91.00,3.80625,4.07,4.33,91,4.33125
91.00,3.675,4.07,4.20,91,4.4625
92.00,3.675,3.94,4.20,91,4.33125
92.00,3.80625,3.81,4.20,91,4.33125
92.00,3.675,3.94,4.33,91,4.33125
92.00,3.80625,3.94,4.20,92,4.4625
92.00,3.675,3.81,4.33,92,4.33125
92.00,3.80625,4.07,4.20,92,4.4625
93.00,3.675,3.94,4.33,92,4.33125
93.00,3.80625,3.81,4.20,92,4.4625
93.00,3.80625,3.94,4.20,93,4.33125
93.00,3.675,4.07,4.20,93,4.4625
93.00,3.80625,3.94,4.20,93,4.4625
93.00,3.675,3.94,4.20,93,4.33125
94.00,3.80625,3.81,4.20,93,4.4625
94.00,3.675,3.94,4.20,93,4.33125
